item,Theme,Category,beauty_mean,beauty_SD,N,subset,women_beauty_mean,men_beauty_mean
1,Acorns1,Object,4.86,1.48,140,subset2,4.81,4.91
2,Acorns2,Object,4.2,1.44,104,subset4,4.59,4.78
3,Acorns3,Object,5.16,1.37,368,subset1,5.71,5.99
4,Alcohol1,Object,3.48,1.13,145,subset3,4.61,4.32
5,Alcohol2,Object,4.3,1.68,104,subset4,4.31,4.04
6,Alcohol3,Object,4.45,1.59,104,subset4,4.74,4.68
7,Alcohol4,Object,5.05,1.49,368,subset1,3.82,4.40
8,Alcohol5,Object,5.19,1.22,145,subset3,3.66,4.22
9,Alcohol6,Object,4.41,1.51,104,subset4,3.93,3.77
10,Alcohol7,Object,4.68,1.47,104,subset4,3.86,3.95
11,Alcohol8,Object,5.41,1.40,104,subset4,3.66,3.52
12,Ambulance1,Object,3.37,1.81,140,subset2,4.04,4.23
13,Ambulance2,Object,2.88,1.44,140,subset2,5.07,5.78
14,Ambulance3,Object,3.33,1.68,140,subset2,3.49,3.81
15,Angryface1,Person,3.39,1.70,104,subset4,3.55,3.76
16,Angryface2,Person,2.88,1.51,368,subset1,5.22,5.53
17,Angryface3,Person,2.21,1.46,368,subset1,4.76,5.10
18,Angryface4,Person,2.08,1.44,140,subset2,5.10,5.19
19,Angryface5,Person,3.01,1.58,368,subset1,4.17,4.42
20,Angrypose1,Person,2.59,1.33,145,subset3,2.44,2.03
21,Angrypose2,Person,4.03,1.82,368,subset1,1.97,1.82
22,Animalcarcass1,Animal,2.49,1.59,145,subset3,4.28,4.76
23,Animalcarcass2,Animal,2.48,1.32,145,subset3,2.03,1.87
24,Animalcarcass3,Animal,3.39,1.85,104,subset4,3.55,3.22
25,Animalcarcass4,Animal,4.51,1.72,368,subset1,2.48,1.75
26,Animalcarcass5,Animal,1.98,1.41,104,subset4,2.54,2.20
27,Animalcarcass6,Animal,2.49,1.64,145,subset3,2.63,2.20
28,Archery1,Person,4.16,1.67,145,subset3,4.05,3.45
29,Archery2,Person,3.57,1.43,145,subset3,3.83,2.88
30,Astronaut1,Person,5.74,1.49,104,subset4,4.02,3.85
31,Astronaut2,Person,4.2,1.47,140,subset2,3.55,3.84
32,Baby1,Person,5.38,1.61,104,subset4,3.33,3.34
33,Baby2,Person,5.45,1.41,140,subset2,3.26,3.04
34,Baby3,Person,5.53,1.43,368,subset1,2.24,2.13
35,Baby4,Person,5.47,1.53,140,subset2,2.98,2.79
36,Baby5,Person,5.29,1.42,140,subset2,5.69,5.79
37,Baby6,Person,5.45,1.52,140,subset2,5.20,5.42
38,Baby7,Person,3.81,1.71,104,subset4,5.64,6.19
39,Baby8,Person,5.43,1.53,368,subset1,5.61,5.72
40,Baby9,Person,5.38,1.42,140,subset2,5.53,6.14
41,Baby10,Person,5.75,1.18,145,subset3,4.67,5.06
42,Band1,Person,4.26,1.39,368,subset1,4.17,3.82
43,Band2,Person,4.47,1.58,368,subset1,4.92,5.24
44,Bar1,Scene,4.6,1.48,368,subset1,4.77,5.00
45,Bar2,Scene,4.45,1.67,140,subset2,4.92,5.39
46,Bar3,Scene,3.93,1.46,145,subset3,3.30,3.36
47,Barbeque1,Person,3.63,1.57,140,subset2,4.93,5.26
48,Barbeque2,Person,4.01,1.67,368,subset1,5.14,5.58
49,Bark1,Object,4.04,1.49,145,subset3,4.97,5.30
50,Bark2,Object,4.07,1.60,368,subset1,4.69,5.22
51,Bark3,Object,4.38,1.51,140,subset2,3.98,3.99
52,Bark4,Object,4.35,1.47,145,subset3,5.14,5.38
53,Bark5,Object,4.39,1.54,104,subset4,5.25,5.56
54,Bark6,Object,4.23,1.55,368,subset1,5.51,5.52
55,Barrels1,Object,4.63,1.53,104,subset4,4.30,4.30
56,BDSM1,Person,3.46,1.68,145,subset3,4.79,4.61
57,BDSM2,Person,3.33,1.65,145,subset3,3.54,3.24
58,BDSM3,Person,3.14,1.77,104,subset4,4.24,4.61
59,Beach1,Scene,6.43,1.01,145,subset3,5.43,4.30
60,Beach2,Scene,6.5,0.93,368,subset1,4.77,4.47
61,Beach3,Scene,5.82,1.19,104,subset4,4.06,4.23
62,Beach4,Scene,5.44,1.38,140,subset2,3.58,3.57
63,Beach5,Scene,5.45,1.17,104,subset4,3.90,4.16
64,Beach6,Scene,5.27,1.22,145,subset3,4.63,5.08
65,Beach7,Scene,5.69,1.22,140,subset2,4.55,5.26
66,Beach8,Scene,5.74,1.28,104,subset4,5.40,5.70
67,Bear1,Animal,5.29,1.06,104,subset4,5.15,5.53
68,Bear2,Animal,5.43,1.21,145,subset3,3.04,2.72
69,Bear3,Animal,5.69,1.22,104,subset4,5.12,5.62
70,Bed1,Object,3.46,1.62,368,subset1,4.63,4.63
71,Bee1,Animal,4.54,1.76,368,subset1,3.89,4.10
72,Biking1,Person,4.38,1.53,104,subset4,4.95,5.39
73,Billiards1,Object,4.3,1.46,145,subset3,4.28,4.72
74,Bird1,Animal,5.99,1.22,140,subset2,5.13,5.30
75,Bird2,Animal,5.73,1.24,368,subset1,2.52,1.87
76,Bird3,Animal,5.66,1.20,368,subset1,2.55,1.87
77,Bird4,Animal,5.79,1.15,145,subset3,3.23,3.30
78,Bird5,Animal,4.65,1.49,104,subset4,2.69,2.18
79,Birthday1,Scene,5.1,1.30,140,subset2,2.17,2.23
80,Birthday2,Person,4.29,1.68,145,subset3,5.02,5.50
81,Birthday3,Scene,4.99,1.29,145,subset3,4.92,5.03
82,Bloodyknife1,Object,2.89,1.91,368,subset1,4.51,4.77
83,Bloodyknife2,Object,2.32,1.56,368,subset1,5.06,5.78
84,Boat1,Object,5.46,1.21,145,subset3,4.07,4.16
85,Boredface1,Person,2.26,1.27,140,subset2,5.93,6.48
86,Boredpose1,Person,3.25,1.54,140,subset2,4.94,5.23
87,Boredpose2,Person,2.66,1.38,140,subset2,5.69,6.30
88,Boredpose3,Person,3.03,1.55,104,subset4,4.42,4.72
89,Boredpose4,Person,3.06,1.44,145,subset3,4.12,4.23
90,Boredpose5,Person,3.8,1.32,145,subset3,2.13,2.04
91,Boredpose6,Person,4.75,1.54,368,subset1,3.61,3.18
92,Bottle1,Object,3.16,1.57,140,subset2,3.39,3.18
93,Boxing1,Person,3.37,1.49,145,subset3,3.19,3.16
94,Boxing2,Person,3.9,1.66,368,subset1,4.45,5.03
95,Bricks1,Object,3.79,1.56,104,subset4,5.27,5.57
96,Bridge1,Scene,6.14,1.07,368,subset1,5.30,5.58
97,Bubble1,Object,4.94,1.64,140,subset2,5.33,5.76
98,Bubble2,Object,5.17,1.15,145,subset3,4.76,5.12
99,Building1,Scene,5.46,1.31,140,subset2,5.13,5.10
100,Building2,Scene,5.85,1.18,368,subset1,5.17,5.60
101,Bungeejumping1,Person,4.47,1.55,368,subset1,2.87,3.12
102,Bungeejumping2,Person,4.18,1.56,104,subset4,4.70,4.92
103,Bungeejumping3,Person,4.71,1.53,104,subset4,5.44,5.84
104,Camping1,Person,4.11,1.49,145,subset3,3.75,3.68
105,Camping2,Person,3.96,1.47,140,subset2,5.04,4.88
106,Camping3,Person,3.83,1.40,145,subset3,4.52,5.01
107,Camping4,Person,3.91,1.54,140,subset2,3.61,4.05
108,Camping6,Person,3.57,1.53,145,subset3,3.52,3.00
109,Camping7,Person,4.13,1.39,145,subset3,4.70,4.96
110,Camping8,Person,3.64,1.49,145,subset3,4.25,4.46
111,Camping9,Person,3.66,1.54,368,subset1,5.13,5.47
112,Camping10,Scene,5.39,1.30,140,subset2,4.30,4.10
113,Candle1,Object,4.92,1.52,104,subset4,2.58,2.58
114,Car1,Object,5.12,1.50,145,subset3,5.21,5.57
115,Car2,Object,4.29,1.57,104,subset4,3.96,4.62
116,Caraccident1,Object,2.21,1.31,140,subset2,4.90,5.18
117,Caraccident2,Object,1.9,1.17,145,subset3,4.59,5.12
118,Caraccident3,Object,4.51,1.80,104,subset4,5.13,5.50
119,Caraccident4,Object,1.94,1.08,145,subset3,4.91,5.06
120,Carcrash1,Scene,2.09,1.40,140,subset2,4.74,4.82
121,Carcrash2,Scene,2.38,1.44,104,subset4,5.46,5.76
122,Carcrash3,Scene,2.42,1.45,104,subset4,1.75,1.72
123,Carrace1,Scene,3.72,1.68,140,subset2,2.29,2.41
124,Carrace2,Scene,3.38,1.61,104,subset4,3.73,4.32
125,Carrace3,Scene,3.93,1.57,368,subset1,2.03,1.92
126,Carrace4,Scene,3.69,1.61,145,subset3,3.98,3.96
127,Cardboard1,Object,3.34,1.59,140,subset2,3.53,4.16
128,Cardboard2,Object,3.15,1.56,104,subset4,3.35,3.04
129,Cardboard3,Object,2.17,1.34,145,subset3,3.54,4.12
130,Cat1,Animal,5.75,1.19,145,subset3,3.50,3.24
131,Cat2,Animal,5.32,1.33,140,subset2,3.69,4.56
132,Cat3,Animal,5.94,0.99,145,subset3,5.19,5.16
133,Cat4,Animal,5.66,1.35,104,subset4,4.38,4.38
134,Cat5,Animal,5.86,1.26,140,subset2,4.72,4.66
