item,theme,category,valence,arousal,beauty
1,Acorns1,Object,4.69,2.35,4.86
2,Acorns2,Object,4.52,2.23,4.2
3,Acorns3,Object,4.75,2.31,5.16
4,Alcohol1,Object,4.69,2.87,3.48
5,Alcohol2,Object,4.25,3,4.3
6,Alcohol3,Object,4.17,2.35,4.45
7,Alcohol4,Object,4.77,2.87,5.05
8,Alcohol5,Object,5.33,3.55,5.19
9,Alcohol6,Object,4.54,2.64,4.41
10,Alcohol7,Object,4.48,3.13,4.68
11,Alcohol8,Object,5.48,3.8,5.41
12,Ambulance1,Object,2.33,4.16,3.37
13,Ambulance2,Object,3.18,3.41,2.88
14,Ambulance3,Object,3.29,3.61,3.33
15,Angryface1,Person,3.38,3.26,3.39
16,Angryface2,Person,3.08,3.53,2.88
17,Angryface3,Person,2.5,3.66,2.21
18,Angryface4,Person,2.49,3.87,2.08
19,Angryface5,Person,2.85,3.55,3.01
20,Angrypose1,Person,2.81,3.62,2.59
21,Angrypose2,Person,2.81,3.72,4.03
22,Animalcarcass1,Animal,2.72,3.77,2.49
23,Animalcarcass2,Animal,3.25,4.03,2.48
24,Animalcarcass3,Animal,2.75,4.42,3.39
25,Animalcarcass4,Animal,3.79,4.2,4.51
26,Animalcarcass5,Animal,1.62,4.48,1.98
27,Animalcarcass6,Animal,2.4,4.72,2.49
28,Archery1,Person,4.29,3.75,4.16
29,Archery2,Person,4.81,3.46,3.57
30,Astronaut1,Person,5.71,4.57,5.74
31,Astronaut2,Person,5.14,3.67,4.2
32,Baby1,Person,6.18,4.09,5.38
33,Baby2,Person,6.03,3.66,5.45
34,Baby3,Person,5.84,4.12,5.53
35,Baby4,Person,5.92,4.27,5.47
36,Baby5,Person,6.14,3.72,5.29
37,Baby6,Person,6.05,3.65,5.45
38,Baby7,Person,2.97,4.25,3.81
39,Baby8,Person,6.1,3.92,5.43
40,Baby9,Person,5.85,3.64,5.38
41,Baby10,Person,5.42,3.89,5.75
42,Band1,Person,4.87,3.01,4.26
43,Band2,Person,5.16,3.84,4.47
44,Bar1,Scene,4.9,3.46,4.6
45,Bar2,Scene,4.75,3.79,4.45
46,Bar3,Scene,4.49,3.26,3.93
