Subj,Block,Trial,ImageType,Image,Rating,RT
1,1,1,art,art_087.jpg,3,4.2813
1,2,100,art,art_087.jpg,5,1.9818
2,1,80,art,art_087.jpg,6,1.089
2,2,66,art,art_087.jpg,5,0.8327
3,1,62,art,art_087.jpg,2,0.8236
3,2,108,art,art_087.jpg,2,0.7521
4,1,2,art,art_087.jpg,6,1.7909
4,2,48,art,art_087.jpg,5,0.9163
5,1,54,art,art_087.jpg,1,1.1997
5,2,16,art,art_087.jpg,1,0.8024
6,1,94,art,art_087.jpg,6,0.6646
6,2,56,art,art_087.jpg,5,6.0831
7,1,93,art,art_087.jpg,2,0.8634
7,2,28,art,art_087.jpg,2,1.7228
8,1,82,art,art_087.jpg,2,0.776
8,2,17,art,art_087.jpg,2,0.8013
9,1,47,art,art_087.jpg,5,0.8891
9,2,80,art,art_087.jpg,6,0.8963
10,1,30,art,art_087.jpg,2,0.4313
10,2,63,art,art_087.jpg,1,0.4957
11,1,83,art,art_087.jpg,5,3.274
11,2,6,art,art_087.jpg,2,0.8709
12,1,104,art,art_087.jpg,3,0.5617
12,2,27,art,art_087.jpg,3,0.6666
13,1,96,art,art_087.jpg,7,0.8799
13,2,6,art,art_087.jpg,7,0.8245
14,1,104,art,art_087.jpg,5,0.6827
14,2,14,art,art_087.jpg,5,1.3689
15,1,60,art,art_087.jpg,5,0.6665
15,2,34,art,art_087.jpg,4,0.5727
16,1,76,art,art_087.jpg,4,0.6463
16,2,50,art,art_087.jpg,2,0.8175
17,1,47,art,art_087.jpg,6,0.832
17,2,71,art,art_087.jpg,7,0.6386
18,1,39,art,art_087.jpg,2,0.7872
18,2,63,art,art_087.jpg,1,1.1838
19,1,88,art,art_087.jpg,6,1.0085
19,2,37,art,art_087.jpg,6,0.5823
20,1,73,art,art_087.jpg,2,1.1456
20,2,22,art,art_087.jpg,4,0.777
21,1,82,art,art_087.jpg,5,0.9138
21,2,87,art,art_087.jpg,5,2.3703
22,1,23,art,art_087.jpg,4,0.5864
22,2,28,art,art_087.jpg,4,1.2779
23,1,105,art,art_087.jpg,6,1.0347
