"model","train_type","model_layer","model_layer_depth","score","model_string"
"ViT-L/14","clip","LayerNorm-50",0.994186046511628,0.874859107639597,"ViT-L/14_clip"
"ViT-B/16","clip","LayerNorm-26",0.988636363636364,0.861609110590137,"ViT-B/16_clip"
"RN50x4","clip","AttentionPool2d-1",1,0.853830475569175,"RN50x4_clip"
"ViT-B/32","clip","LayerNorm-26",0.988636363636364,0.845214427842957,"ViT-B/32_clip"
"RN101","clip","AttentionPool2d-1",1,0.833178265689165,"RN101_clip"
"RN50","clip","AttentionPool2d-1",1,0.824495826495433,"RN50_clip"
"convnext_large_in22k","imagenet21k","Conv2d-39",0.939163498098859,0.799313415262329,"convnext_large_in22k_imagenet21k"
"ViT-L-SLIP","slip","Identity-50",1,0.790097846790252,"ViT-L-SLIP_slip"
"convnext_base_in22k","imagenet21k","LayerNorm2d-5",0.996197718631179,0.790019345176969,"convnext_base_in22k_imagenet21k"
"ViT-L-SLIP-Ep100","slip","Identity-50",1,0.785385523737054,"ViT-L-SLIP-Ep100_slip"
"swin_base_patch4_window7_224_in22k","imagenet21k","Linear-100",1,0.778007575953186,"swin_base_patch4_window7_224_in22k_imagenet21k"
"ViT-B-SLIP-Ep100","slip","Identity-26",1,0.777576128144643,"ViT-B-SLIP-Ep100_slip"
"ViT-B-SLIP","slip","Identity-26",1,0.770146487223262,"ViT-B-SLIP_slip"
"ViT-L-SLIP-CC12M","slip","Identity-26",1,0.769109694455603,"ViT-L-SLIP-CC12M_slip"
"resnetv2_101x3_bitm_in21k","big_transfer","ReLU-100",0.991701244813278,0.765540663652422,"resnetv2_101x3_bitm_in21k_big_transfer"
"RegNet-32Gf-SEER","seer","AdaptiveAvgPool2d-23",0.974603174603175,0.763563490863109,"RegNet-32Gf-SEER_seer"
"RegNet-64Gf-SEER","seer","BatchNorm2d-68",0.993730407523511,0.75920410087743,"RegNet-64Gf-SEER_seer"
"swin_base_patch4_window7_224","imagenet","AdaptiveAvgPool1d-1",0.994535519125683,0.756185223256141,"swin_base_patch4_window7_224_imagenet"
"ViT-S-SLIP-Ep100","slip","Identity-26",1,0.753316153831977,"ViT-S-SLIP-Ep100_slip"
"RegNet-64Gf-SEER-INFT","seer","BatchNorm2d-67",0.987421383647799,0.748491790488635,"RegNet-64Gf-SEER-INFT_seer"
"resnetv2_50x1_bitm_in21k","big_transfer","AdaptiveAvgPool2d-1",0.991803278688525,0.73884761014504,"resnetv2_50x1_bitm_in21k_big_transfer"
"swsl_resnet50","semi-weakly-supervised","AdaptiveAvgPool2d-1",0.993670886075949,0.735725221618233,"swsl_resnet50_semi-weakly-supervised"
"vit_base_r50_s16_224_in21k","imagenet21k","Linear-49",0.991525423728814,0.735375292328089,"vit_base_r50_s16_224_in21k_imagenet21k"
"ViT-S-SLIP","slip","Identity-26",1,0.735368210995857,"ViT-S-SLIP_slip"
"ViT-B-CLIP","slip","Identity-26",1,0.734633978265622,"ViT-B-CLIP_slip"
"ViT-L-CLIP-CC12M","slip","Identity-26",1,0.73396872003515,"ViT-L-CLIP-CC12M_slip"
"resnetv2_101x3_bitm","big_transfer","PreActBottleneck-33",0.987551867219917,0.728546153147074,"resnetv2_101x3_bitm_big_transfer"
"dino_xcit_medium_24_p16","selfsupervised","Dropout-94",0.911016949152542,0.72679409486404,"dino_xcit_medium_24_p16_selfsupervised"
"vit_base_patch16_224","imagenet","LayerNorm-24",0.93859649122807,0.725012142337237,"vit_base_patch16_224_imagenet"
"ViT-L-CLIP","slip","Identity-50",1,0.722073206043731,"ViT-L-CLIP_slip"
"swsl_resnext101_32x4d","semi-weakly-supervised","AdaptiveAvgPool2d-1",0.996784565916399,0.715376887775134,"swsl_resnext101_32x4d_semi-weakly-supervised"
"eca_nfnet_l1","imagenet","AdaptiveAvgPool2d-1",0.996969696969697,0.71508035633641,"eca_nfnet_l1_imagenet"
"RegNet-32Gf-SEER-INFT","seer","BatchNorm2d-67",0.987261146496815,0.714678088438612,"RegNet-32Gf-SEER-INFT_seer"
"dino_xcit_small_12_p16","selfsupervised","Linear-55",0.9765625,0.713623450774672,"dino_xcit_small_12_p16_selfsupervised"
"convnext_base","imagenet","LayerNorm-39",0.942965779467681,0.711565914996239,"convnext_base_imagenet"
"eca_nfnet_l0","imagenet","AdaptiveAvgPool2d-1",0.994252873563218,0.711140983092594,"eca_nfnet_l0_imagenet"
"ViT-L-SimCLR","slip","Identity-50",1,0.709792416625438,"ViT-L-SimCLR_slip"
"ViT-S-CLIP","slip","Identity-26",1,0.707394399194309,"ViT-S-CLIP_slip"
"vit_base_patch32_224","imagenet","Linear-47",0.947368421052632,0.706336101379974,"vit_base_patch32_224_imagenet"
"nf_resnet50","imagenet","AdaptiveAvgPool2d-1",0.991935483870968,0.704430229274144,"nf_resnet50_imagenet"
"twins_svt_base","imagenet","LayerNorm-61",0.932835820895522,0.703296710868807,"twins_svt_base_imagenet"
"dino_xcit_small_12_p8","selfsupervised","Identity-41",1,0.70317700411961,"dino_xcit_small_12_p8_selfsupervised"
"vit_base_patch16_224_in21k","imagenet21k","LayerNorm-24",0.93859649122807,0.702559488655367,"vit_base_patch16_224_in21k_imagenet21k"
"dino_vits16","selfsupervised","VisionTransformer-1",1,0.700002054165891,"dino_vits16_selfsupervised"
"convit_base","imagenet","Linear-62",0.879699248120301,0.699557892049083,"convit_base_imagenet"
"resnetv2_50x1_bitm","big_transfer","AdaptiveAvgPool2d-1",0.991803278688525,0.699020609678027,"resnetv2_50x1_bitm_big_transfer"
"regnety_064","imagenet","SEModule-25",0.983606557377049,0.698093599642305,"regnety_064_imagenet"
"repvgg_b3g4","imagenet","AdaptiveAvgPool2d-1",0.99537037037037,0.695998876170416,"repvgg_b3g4_imagenet"
"dino_resnet50","selfsupervised","AdaptiveAvgPool2d-1",1,0.695317033058264,"dino_resnet50_selfsupervised"
"seresnext50_32x4d","imagenet","AdaptiveAvgPool2d-1",0.995798319327731,0.69486671241997,"seresnext50_32x4d_imagenet"
"dino_vitb16","selfsupervised","VisionTransformer-1",1,0.694458129637862,"dino_vitb16_selfsupervised"
"dino_xcit_medium_24_p8","selfsupervised","Dropout-82",0.797441364605544,0.694136851281566,"dino_xcit_medium_24_p8_selfsupervised"
"swin_tiny_patch4_window7_224","imagenet","LayerNorm-28",0.929292929292929,0.693090855442767,"swin_tiny_patch4_window7_224_imagenet"
"ViT-B-SimCLR","slip","Identity-26",1,0.6925339589173,"ViT-B-SimCLR_slip"
"skresnext50_32x4d","imagenet","AdaptiveAvgPool2d-1",0.996062992125984,0.690113892925521,"skresnext50_32x4d_imagenet"
"hardcorenas_f","imagenet","Hardswish-27",0.995726495726496,0.688967559304733,"hardcorenas_f_imagenet"
"mixer_l16_224","imagenet","MixerBlock-21",0.868852459016393,0.68852106965006,"mixer_l16_224_imagenet"
"visformer_small","imagenet","BatchNorm2d-27",0.948529411764706,0.688402679598294,"visformer_small_imagenet"
"mixer_b16_224","imagenet","GELU-23",0.92741935483871,0.687743152496372,"mixer_b16_224_imagenet"
"cait_s24_224","imagenet","Linear-155",0.982507288629738,0.687691521669782,"cait_s24_224_imagenet"
"dino_vits8","selfsupervised","VisionTransformer-1",1,0.685961412115983,"dino_vits8_selfsupervised"
"pit_b_224","imagenet","Transformer-5-2",0.984251968503937,0.68577354565143,"pit_b_224_imagenet"
"wide_resnet101_2","imagenet","AdaptiveAvgPool2d-1",0.996784565916399,0.685041074175657,"wide_resnet101_2_imagenet"
"gernet_s","imagenet","AdaptiveAvgPool2d-1",0.990566037735849,0.684807374246501,"gernet_s_imagenet"
"ResNet50-SwAV-BS4096-2x224","selfsupervised","AdaptiveAvgPool2d-1",1,0.684433639388808,"ResNet50-SwAV-BS4096-2x224_selfsupervised"
"ResNet50-SwAV-BS4096-2x224+6x96","selfsupervised","AdaptiveAvgPool2d-1",1,0.684433639388808,"ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised"
"regnetx_064","imagenet","AdaptiveAvgPool2d-1",0.99236641221374,0.684406659031261,"regnetx_064_imagenet"
"deit_base_patch16_224","imagenet","Linear-47",0.947368421052632,0.683317479492223,"deit_base_patch16_224_imagenet"
"twins_pcpvt_base","imagenet","LayerNorm-83",0.954022988505747,0.68264806887057,"twins_pcpvt_base_imagenet"
"dino_vitb8","selfsupervised","VisionTransformer-1",1,0.682298519994312,"dino_vitb8_selfsupervised"
"ResNet50-DeepClusterV2-2x224+6x96","selfsupervised","AdaptiveAvgPool2d-1",1,0.681647626720689,"ResNet50-DeepClusterV2-2x224+6x96_selfsupervised"
"efficientnetv2_rw_s","imagenet","BatchNorm2d-104",0.91304347826087,0.681190691042061,"efficientnetv2_rw_s_imagenet"
"hardcorenas_a","imagenet","Hardswish-15",0.992857142857143,0.676555947027813,"hardcorenas_a_imagenet"
"densenet201","imagenet","BatchNorm2d-201",0.998360655737705,0.675907605386811,"densenet201_imagenet"
"ViT-S-SimCLR","slip","Identity-26",1,0.674749374427482,"ViT-S-SimCLR_slip"
"mixer_b16_224_in21k","imagenet21k","LayerNorm-23",0.911290322580645,0.674116261112534,"mixer_b16_224_in21k_imagenet21k"
"ResNet50-SimCLR","selfsupervised","AdaptiveAvgPool2d-1",1,0.674063155979284,"ResNet50-SimCLR_selfsupervised"
"resnet152","imagenet","AdaptiveAvgPool2d-1",0.997844827586207,0.672126078500224,"resnet152_imagenet"
"wide_resnet50_2","imagenet","ReLU-48",0.968354430379747,0.672066979711125,"wide_resnet50_2_imagenet"
"coat_lite_mini","imagenet","LayerNorm-19",0.89344262295082,0.670849845526513,"coat_lite_mini_imagenet"
"resnext50_32x4d","imagenet","ReLU-48",0.968354430379747,0.669912970324552,"resnext50_32x4d_imagenet"
"mobilenetv3_rw","imagenet","Hardswish-26",0.994318181818182,0.669702019887371,"mobilenetv3_rw_imagenet"
"densenet161","imagenet","BatchNorm2d-161",0.997959183673469,0.66944211510946,"densenet161_imagenet"
"resnet101","imagenet","ReLU-100",0.993569131832797,0.668167807846369,"resnet101_imagenet"
"vgg16_bn","imagenet","ReLU-15",0.979591836734694,0.665588842046339,"vgg16_bn_imagenet"
"densenet169","imagenet","BatchNorm2d-169",0.998054474708171,0.664690202432448,"densenet169_imagenet"
"levit_128","imagenet","Linear-60",0.993055555555556,0.66415563589846,"levit_128_imagenet"
"resnext101_32x8d","imagenet","ReLU-97",0.964630225080386,0.662501712470556,"resnext101_32x8d_imagenet"
"ResNet50-BarlowTwins-BS2048","selfsupervised","AdaptiveAvgPool2d-1",1,0.659182374231997,"ResNet50-BarlowTwins-BS2048_selfsupervised"
"swsl_resnet18","semi-weakly-supervised","AdaptiveAvgPool2d-1",0.983333333333333,0.657113349733788,"swsl_resnet18_semi-weakly-supervised"
"resnet50","imagenet","ReLU-49",0.987341772151899,0.656569465170468,"resnet50_imagenet"
"vgg19_bn","imagenet","ReLU-18",0.982758620689655,0.655119031643705,"vgg19_bn_imagenet"
"vgg13_bn","imagenet","ReLU-12",0.975,0.654853412303156,"vgg13_bn_imagenet"
"mnasnet1_0","imagenet","BatchNorm2d-50",0.947019867549669,0.653511329686972,"mnasnet1_0_imagenet"
"spnasnet_100","imagenet","ReLU-43",0.989304812834225,0.649798732553314,"spnasnet_100_imagenet"
"vgg11","imagenet","ReLU-10",0.961538461538462,0.649666331065322,"vgg11_imagenet"
"vgg11_bn","imagenet","ReLU-10",0.970588235294118,0.649577689777704,"vgg11_bn_imagenet"
"ghostnet_100","imagenet","ReLU-42",0.99644128113879,0.649369751109196,"ghostnet_100_imagenet"
"densenet121","imagenet","BatchNorm2d-121",0.997297297297297,0.649274574084814,"densenet121_imagenet"
"ResNet50-DeepClusterV2-2x224","selfsupervised","AdaptiveAvgPool2d-1",1,0.649269854352326,"ResNet50-DeepClusterV2-2x224_selfsupervised"
"vgg16","imagenet","ReLU-15",0.972222222222222,0.647768657171219,"vgg16_imagenet"
"cspdarknet53","imagenet","DarkBlock-23",0.962264150943396,0.647367620218891,"cspdarknet53_imagenet"
"vgg13","imagenet","ReLU-12",0.966666666666667,0.64697990578375,"vgg13_imagenet"
"vgg19","imagenet","ReLU-18",0.976190476190476,0.643341906247471,"vgg19_imagenet"
"inception_resnet_v2","imagenet","ReLU-233",0.952991452991453,0.641714034451775,"inception_resnet_v2_imagenet"
"inception_v4","imagenet","AvgPool2d-13",0.921810699588477,0.639606844711052,"inception_v4_imagenet"
"mobilenet_v2","imagenet","ReLU6-35",0.986754966887417,0.63893690400585,"mobilenet_v2_imagenet"
"resnet34","imagenet","ReLU-33",0.981481481481482,0.638924600545117,"resnet34_imagenet"
"tf_efficientnet_b7","imagenet","BatchNorm2d-161",0.981554677206851,0.633778376077549,"tf_efficientnet_b7_imagenet"
"googlenet","imagenet","Inception-9",0.98974358974359,0.633715685969939,"googlenet_imagenet"
"tnt_s_patch16_224","imagenet","Linear-120",0.871428571428571,0.628882294235606,"tnt_s_patch16_224_imagenet"
"dla34","imagenet","ReLU-33",0.982300884955752,0.627930132994243,"dla34_imagenet"
"ResNet50-PIRL","selfsupervised","AdaptiveAvgPool2d-1",1,0.621592018463209,"ResNet50-PIRL_selfsupervised"
"resnet18","imagenet","ReLU-17",0.966666666666667,0.61943116548485,"resnet18_imagenet"
"pit_ti_224","imagenet","LayerNorm-23",0.898305084745763,0.615555432614498,"pit_ti_224_imagenet"
"mnasnet0_5","imagenet","Dropout-1",0.993377483443709,0.614687005855358,"mnasnet0_5_imagenet"
"xception","imagenet","Conv2d-106",0.970059880239521,0.612073963264348,"xception_imagenet"
"inception_v3","imagenet","InceptionE-1",0.898989898989899,0.604332636255806,"inception_v3_imagenet"
"deit_tiny_patch16_224","imagenet","LayerNorm-19",0.745614035087719,0.596240298370826,"deit_tiny_patch16_224_imagenet"
"squeezenet1_1","imagenet","AdaptiveAvgPool2d-1",1,0.592581444508706,"squeezenet1_1_imagenet"
"retinanet_R_50_FPN_3x","detectron","BottleneckBlock-16",0.897435897435897,0.590367240199221,"retinanet_R_50_FPN_3x_detectron"
